0.570646378886703 (76.8374908491942, -32.0)
0.20963990313208783 (22.0, 48.774993593028796)
0.29429475124478804 (70.0, -35.70714214271425)
0.43699345050475924 (24.0, 48.53864439804639)
0.26959529991980924 (15.999999999999986, 49.35585071701227)
0.5901649307103416 (72.0, -34.698703145794944)
0.494313664011564 (72.0, -34.698703145794944)
0.5745764488885181 (22.0, 48.774993593028796)
0.587873244923871 (22.0, 48.774993593028796)
0.34277113837764966 (74.0, -33.63034344160047)
0.5341858875442925 (30.0, 47.69696007084728)
0.5245846154457409 (90.0, -21.794494717703365)
0.4407832535491792 (32.0, 47.37087712930804)
0.5603278133179955 (32.0, 47.37087712930804)
0.5769578522264377 (34.0, 47.02127178203499)
0.5991999402652851 (76.8374908491942, -32.0)
0.5995578945072203 (76.8374908491942, -32.0)
0.5087387416899931 (78.0, -31.28897569432403)
0.04406842788907842 (32.0, 47.37087712930804)
0.5433819063274774 (32.0, 47.37087712930804)
0.56612185572605 (34.0, 47.02127178203499)
0.2945737674727805 (39.191835884530846, 46.0)
0.3579438189818544 (40.0, 45.8257569495584)
0.4234413788780754 (36.0, 46.647615158762406)
0.5133691916170209 (42.0, 45.37620521815371)
0.539021425755425 (39.191835884530846, 46.0)
0.48605645045755663 (82.0, -28.618176042508374)
0.5257174218217819 (82.8492607088319, -28.0)
0.49762735227406235 (96.0, -14.000000000000002)
0.4567509008387688 (46.0, 44.39594576084623)
0.21426225711973726 (47.49736834815167, 44.0)
0.337286142010162 (48.0, 43.86342439892262)
0.4269245985798776 (85.41662601625049, -26.0)
0.34223428572795284 (86.0, -25.51470164434615)
0.3897555403876021 (86.0, -25.51470164434615)
0.22457448684921885 (100.0, 0.0)
0.579374540907686 (52.0, 42.708313008125245)
0.47473230573569686 (94.0, -17.058722109231987)
0.41013841683291796 (54.0, 42.08325082500162)
0.42541046423019707 (52.0, 42.708313008125245)
0.22452229463919096 (99.27738916792686, -6.0)
0.07047609347507305 (56.0, 41.42463035441595)
0.5121497052943534 (58.0, 40.7308237088326)
0.5805572323315258 (64.0, 38.4187454245971)
0.5790891525540844 (60.0, 40.0)
0.30502942453929044 (68.0, 36.66060555964671)
0.35314491779863977 (91.6515138991168, -20.0)
0.13402078662644537 (92.0, -19.595917942265423)
0.28332487398410494 (62.0, 39.23009049186606)
0.08795190341283689 (64.0, 38.4187454245971)
0.14441975586747438 (93.29523031752481, -18.0)
0.3669940720487956 (98.71170143402453, -8.0)
0.37285709625581176 (94.0, -17.058722109231987)
0.5309262804237843 (68.0, 36.66060555964671)
0.5086470438684798 (68.0, 36.66060555964671)
0.5265168121961673 (69.39740629158989, 36.0)
0.32916723414189913 (78.0, 31.28897569432403)
0.28773128959618716 (96.0, -14.000000000000002)
0.27933086562191023 (72.0, 34.698703145794944)
0.49531630568375395 (73.32121111929342, 34.0)
0.4275241100539556 (97.07728879609277, -12.0)
None
0.0999337479925878 (76.0, 32.49615361854384)
0.42257738289273 (76.8374908491942, 32.0)
None
0.39455408250636037 (99.6794863550169, 4.0)
0.16008308533926474 (80.0, 29.999999999999993)
0.387462374021998 (98.71170143402453, 7.999999999999993)
0.15430987914626812 (99.27738916792686, -6.0)
0.256724397770464 (82.8492607088319, 28.0)
0.5264609100185575 (99.6794863550169, -4.0)
0.4633949809512314 (85.41662601625049, 26.0)
0.3736876865528605 (86.0, 25.51470164434615)
0.2953747821344293 (87.72684879784524, 24.0)
0.24881794079961736 (100.0, 0.0)
None
0.5521067538866093 (99.6794863550169, 4.0)
0.2925541325177371 (93.29523031752481, 18.0)
0.32288772605014243 (98.0, 9.94987437106621)
None
None
None
None
None
None
None
None
None
None
None
None
None
None
None
0.5371366254734039 (12.000000000000014, 49.63869458396342)
0.5988847226551718 (8.0, 49.83974317750845)
0.17926807128138045 (74.0, -33.63034344160047)
0.43388450802565304 (12.000000000000014, 49.63869458396342)
0.3901621416380523 (68.0, -36.66060555964671)
0.2485831447723927 (13.999999999999986, 49.50757517794626)
0.4117322059158393 (76.0, -32.49615361854384)
0.30265183408059243 (69.39740629158989, -36.0)
0.20727805025602547 (70.0, -35.70714214271425)
0.45006863620610993 (18.0, 49.18333050943175)
0.5331532706262117 (85.41662601625049, -26.0)
0.5361997191039105 (72.0, -34.698703145794944)
0.46781032550892687 (72.0, -34.698703145794944)
0.5607273166502278 (24.0, 48.53864439804639)
0.5358086288206028 (26.0, 48.28043081829325)
0.4697123209446096 (26.0, 48.28043081829325)
0.5799038015249665 (28.0, 48.0)
0.5194489356536071 (28.0, 48.0)
0.48748651491295314 (26.0, 48.28043081829325)
0.19733154055178728 (76.0, -32.49615361854384)
0.5498215726571437 (76.8374908491942, -32.0)
0.5610035583880525 (30.0, 47.69696007084728)
0.4427303926876347 (78.0, -31.28897569432403)
0.5620487888655492 (78.0, -31.28897569432403)
0.4994799272458484 (86.0, -25.51470164434615)
0.42376108947672525 (36.0, 46.647615158762406)
0.06467669967477023 (80.0, -29.999999999999993)
